PT	AN	DT	PN	PC	TI	AU	ED	TR	OP	OC	AE	SO	PY	PD	VL	IS	P1	JI	BP	EP	PS	OS	TS	CT	CY	CL	SP	IO	LA	AB	DF	PI	DE	IP	C1	EA	RI	OI	U1	U2	PU	PV	SC	AV	TL	NR	UR	UC	CO	SN	DI	BN	ID	UT	OA	HC	HP	DA
J	INSPEC:20842001	Conference Paper			PBL Cultivation Mode of Innovative Thinking Ability Based on the Data of WTMF and TCT	Liang Ling						CIPAE 2021: 2021 2nd International Conference on Computers, Information Processing and Advanced Education	2021	25 May					1133	1139	1133-9			CIPAE 2021: 2021 2nd International Conference on Computers, Information Processing and Advanced Education	25-27 May 2021	Ottawa, ON, Canada			English	In order to analyze the characteristics of innovative thinking ability of Chinese students who learn a foreign language (English, French, Japanese and other minority languages) as a second foreign language and accordingly establish a teaching mode, this paper takes foreign language majors in Nanfang College of Sun Yat-sen University as subjects to participate in a WTMF (Williams Innovative Thinking Ability Tendency Measurement Form) and a TCT (Test of Creative Thinking). The result shows that students have higher scores in curiosity, challenge and adventure but lower scores in imagination. On the other hand, they performed better in originality but normal in fluency and flexibility. Moreover, data of different genders, grades and foreign language majors shows consistency in fluency, flexibility, originality and creativity. Based on the above investigation and the important role PBL (Project-based Learning) has played in improving the cognitive ability which composes of thinking ability, the author designs a PBL cultivation mode by putting forward the thinking training methods into the process of PBL in order to make joint efforts to cultivate college students' innovative thinking ability.			Practical/ cognition; educational institutions; further education; teaching/ TCT; foreign language majors; cognitive ability; PBL cultivation mode; thinking training methods; college students; WTMF; Chinese students; minority languages; teaching mode; Sun Yat-Sen University; Williams innovative thinking ability tendency measurement form; test of creative thinking; project-based learning; English language; French language; Nanfang College; Japanese language/ A0150 Educational aids; B0120 Education and training; C0220 Computing education and training; C0110 Control education and training; E0250 Education and training		Liang Ling; Nanfang Coll., Guangzhou, China.				0	0	ACM	New York, NY, USA	Physics; Education & Educational Research; Engineering; Computer Science; Automation & Control Systems; Business & Economics (provided by Clarivate Analytics)			0					10.1145/3456887.3457473	978-1-4503-8996-9		INSPEC:20842001				2021-12-06
J	INSPEC:21141793	Conference Paper			Exploring the influence of psychological empowerment on student's learning performance in a blended learning environment based on the structural equation model	Li Yu Tseng; Chiou Fong Wei; Ying Ying Zhang						2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)	2021	2021					314	318	314-18			2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)	18-20 June 2021	Dali, China			English	Today's Generation Z students have entered to the university. Traditional teaching cannot meet their learning needs. Teachers must create an environment that can enhance their learning abilities. This paper aims to explore how to use teachers' psychological empowerment to increase students' creativity, learning satisfaction, and learning performance in a blended learning environment. After collecting 172 valid questionnaires, this research uses the structural equation model to verify the proposed conceptual model. This study used Cronbach's alpha (> 0.7), CR (> 0.7), and AVEs (> 0.5) to test the reliability and the validity of the construct. Besides, the chi2/df ratio (< 3.0) and other indicators of goodness of fit (RMSEA= 0.059, CFI= 0.97, IFI= 0.96, NFI= 0.97) were used to test the model fit. The results show that teachers' psychological empowerment has a positive impact on students' creativity (beta = 0.44, p < 0.001), learning satisfaction (beta = 0.25, p < 0.001) and learning performance (beta = 0.17, p < 0.001). Students' creativity (beta= 0.78, p< 0.001) and learning satisfaction (beta= 0.18, p< 0.01) have a positive impact on their learning performance.			Practical/ age issues; computer aided instruction; educational institutions; statistical analysis; teaching/ psychological empowerment; blended learning environment; structural equation model; Generation Z students; learning abilities; learning performance; university; Cronbach's alpha/ C7810C Computer-aided instruction; C1140Z Other topics in statistics	G09B5/00 Electrically-operated educational appliances	Li Yu Tseng; Chiou Fong Wei; Ying Ying Zhang; Bus. Sch. Nanfang Coll. Guangzhou, Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Education & Educational Research; Computer Science; Mathematics (provided by Clarivate Analytics)			0					10.1109/ICAIE53562.2021.00071	978-1-6654-2492-9		INSPEC:21141793				2021-12-06
J	INSPEC:20395602	Conference Paper, Journal Paper			Bibliometric Analysis of digitization business economy	Chung-Lien Pan; JiaRong Lin; YiHua Wang; ZhiXiang Zhou; MO, Y.						E3S Web of Conferences	2020	2020	214			E3S Web Conf. (France)	03016 (4 pp.)	03016 (4 pp.)	03016 (4 pp.)			2020 International Conference on Energy Big Data and Low-carbon Development Management (EBLDM 2020)	18-20 Dec. 2020	Nanjing, China			English	Digital technology is being applied by different organizations, for example, the sharing economy, blockchain, and other topics are very popular in recent years, which leads to obvious changes in different fields. At the same time, there is growing interest in the digital business economy. However, there is less bibliometrics on the subject, and this is a good solution for addressing the opportunities and risks of digital transformation. Based on 731 articles retrieved from the Web of Science (Wos)database between 2000 and 2020, the study reviewed the literature on "ICT industry", "digital economy", "economic analysis" and "market research". Since 2015, publications have experienced rapid growth in several disciplines, such as management, business, economics, library and information science, business economics, etc. At the same time, research institutions in Germany, the United States, and Sweden have performed well in this field. Using this database, the author analyzed what happened and made a concise keyword map to clearly show the connections among the topics based on the co-occurrence network generated by the keyword data. This paper provides a reference point for researchers, funding agencies, policymakers, and industry professionals to study the progress of the digital business economy.			Practical/ citation analysis; economics; information analysis; Internet; market research/ digital business economy; bibliometric analysis; digitization business economy; digital technology; sharing economy; digital transformation; digital economy; business economics/ C7170 Marketing computing; C7210N Information networks; C7240 Information analysis and indexing	G06Q30/02 Marketing, e.g. market research and analysis, surveying, promotions, advertising, buyer profiling, customer management or rewards; Price estimation or determination	Chung-Lien Pan; JiaRong Lin; YiHua Wang; ZhiXiang Zhou; MO, Y.; Nanfang Coll., Sun Yat-sen Univ., Guangzhou, China.			Pan, Chung Lien/0000-0001-9488-5329	0	0	EDP Sciences	France	Business & Economics; Computer Science (provided by Clarivate Analytics)			7				2267-1242	10.1051/e3sconf/202021403016			INSPEC:20395602	gold, Green Published			2021-12-06
J	INSPEC:20588115	Conference Paper			How can blockchain shape digital transformation: a scientometric analysis and review for financial services	Jialong Li; Xiaoling Huang; Chanwen Wu; Yiling Yang; Danling Zhang; Xin Bai; Fengyi Li; Yaojia Sun						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					264	267	264-7			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	As a rapidly emerging and iteratively developed technology, the blockchain and its derived technologies evince promising revolution potential in the financial field. In this state-of-the-art-paper, we organized 1,361 literature from the web of science (WoS) database and analyzes their annual trend, topics, publications, and disciplines. Base on the exploratory scientometric analysis, we also mapping on co-occurrence clusters and demonstrate the possibilities and application areas in the related field. The study reveals after 2015, notions beyond "bitcoin" gradually occurs, and expand relevant topics to a new level. Their majority of topics are in the traditional business field and tend to be applied rather than technology or theory. Although "blockchain", "bitcoin", and "cryptocurrency" are correlative concepts, they are classified into different clusters, in which the red blockchain cluster is more capable of redefining financial services with digital resources. These insights will help future researchers understand the evolving state of blockchain technology and respond to digital transformation trend in a more effective way.			General or Review/ blockchains; financial data processing; information analysis; pattern classification; pattern clustering/ financial services; Web of Science database; exploratory scientometric analysis; co-occurrence clusters; red blockchain cluster; digital resources; digital transformation/ C7120 Financial computing; C7240 Information analysis and indexing; C6130S Data security; C6160B Distributed databases	G06F21/00 Security arrangements for protecting computers or computer systems against unauthorised activity; G06Q30/00 Commerce, e.g. marketing, shopping, billing, auctions or e-commerce; G06Q40/00 Finance, e.g. banking, investment or tax processing; Insurance, e.g. risk analysis or pensions; H04L9/00 Arrangements for secret or secure communication	Jialong Li; Xiaoling Huang; Chanwen Wu; Yiling Yang; Danling Zhang; Xin Bai; Fengyi Li; Yaojia Sun; Nanfang Coll., Sun Yat-sen Univ., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Business & Economics; Computer Science (provided by Clarivate Analytics)			9					10.1109/MSIEID52046.2020.00054	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20588115				2021-12-06
J	INSPEC:20676852	Conference Paper			Blended Teaching Model in Foreign Language Course - An Action Research based on the Analysis of SPSS	Jie Yuan; Yafei Wu						2020 International Conference on Information Science and Education (ICISE-IE)	2020	2020					282	285	282-5			2020 International Conference on Information Science and Education (ICISE-IE)	4-6 Dec. 2020	Sanya, China			English	In order to promote teaching reform and improve teaching quality, the study uses the Internet technology to assist foreign language teaching. Three rounds of action research have been carried out to explore the blended teaching mode combining students' online self-study and offline project-based learning in the English course Intercultural Communication. With the interaction provided by the intelligent teaching platform named Super Star, the study tried to promote the cooperation between students (SS) as well as teachers and students (TS). SPSS is used to analyze the data formulated from the teaching platform such as learning behavior, learning achievement and of survey. The study found that the blended teaching model assisted students to evaluate their own academic performance and promote their autonomous learning ability.			Practical/ computer aided instruction; educational courses; Internet; linguistics; teaching/ blended teaching model; foreign language course; action research; SPSS; teaching reform; teaching quality; Internet technology; foreign language teaching; blended teaching mode; students; English course Intercultural Communication; intelligent teaching platform; Super Star teaching platform/ C7810C Computer-aided instruction; C7210N Information networks	G09B5/00 Electrically-operated educational appliances	Jie Yuan; Yafei Wu; Nanfang Coll. of Sun Yat-sen Univ., Guangzhou, China.				1	1	IEEE	Piscataway, NJ, USA	Education & Educational Research; Computer Science (provided by Clarivate Analytics)			5					10.1109/ICISE51755.2020.00068	978-1-6654-2261-1	[978-1-6654-2261-1/20/$31.00]	INSPEC:20676852				2021-12-06
J	INSPEC:20588134	Conference Paper			Applying service design in public services: a scientometric review for innovations in public health and administration	Peian Lu; Han-Teng Liao; Jiaying Lei						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					381	384	381-4			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	As service design thinking in public services has increasingly attracted attention for producing innovative solutions to wicked problems, its application promises great potentials in creating better and more responsive services. However, there is no comprehensive review on the topic specifically on service design for the fields of public health and public administration. Based on the current discussions on the value of design for public health and public administration, the paper presents a systematic literature review into the specific discussions on service design, with the purpose to provide better public service innovations, especially in the context of recognizing the human needs in the technological digital advancement of Artificial Intelligence (AI), Big Data, and Cloud Computing. The paper outlines the areas of applications, issues, and challenges for future research and policy innovations. By analyzing top keywords and authors from 529 articles, collected from the Web of Science database, the scientometric study reveals an emerging loose network of concepts and authors. Although the impact of such work remains limited at its early stage of development, the combination of both human-centered insights and system thinking processes at the organization levels, brought by the service design approach, has shown to tackle some of the wicked problems of public health and public administration. Future research and design workshops can be conducted to reinvigorate the notion of people-centered commitments for public service innovations, with societal relevance and scientific rigor.			General or Review/ artificial intelligence; Big Data; cloud computing; database management systems; health care; information analysis; innovation management; public administration/ public administration; public service innovations; public health; service design; scientometric review; artificial intelligence; Big Data; cloud computing; Web of Science database/ C7130 Public administration; C6190J Internet software; C7240 Information analysis and indexing; C7330 Biology and medical computing; C6210 Knowledge based systems; C6130 Data handling techniques; C6160 Database management systems (DBMS)	G06F7/00 Methods or arrangements for processing data by operating upon the order or content of the data handled; G06F9/44 Arrangements for executing specific programmes; G06Q50/26 Government or public services; G16B Bioinformatics, i.e. information and communication technology [ICT] specially adapted for genetic or protein-related data processing in computational molecular biology; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Peian Lu; Office of Educ. Adm., Sun Yat-Sen Univ. Nanfang Coll., Guangzhou, China.Han-Teng Liao; Higher Educ. Impact Assessment Center, Sun Yat-Sen Univ. Nanfang Coll., Guangzhou, China.Jiaying Lei; Sch. of Literature & Media, Sun Yat-Sen Univ. Nanfang Coll., Guangzhou, China.		Liao, Han-Teng/AAC-5793-2019	Liao, Han-Teng/0000-0003-1081-5599	0	0	IEEE	Piscataway, NJ, USA	Public Administration; Computer Science; Mathematical & Computational Biology (provided by Clarivate Analytics)			21					10.1109/MSIEID52046.2020.00081	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20588134				2021-12-06
J	INSPEC:20689255	Conference Paper, Journal Paper			Data Mining Analysis Research on Intelligent Application of Cloud Accounting--Taking Cloud Accounting and Financial Sharing Center as an Example	Qinwei He						Journal of Physics: Conference Series	2021	2021	1881			J. Phys., Conf. Ser. (UK)	042061 (6 pp.)	042061 (6 pp.)	042061 (6 pp.)			2nd International Conference on Computing and Data Science (CONF-CDS) 2021	28-30 Jan. 2021	Stanford, CA, USA			English	This paper takes the cloud accounting and financial sharing center as the research object. It firstly expounds and analyzes the current status of cloud accounting and financial sharing, its operation management, and data mining intelligence, and provides necessary theoretical support for subsequent optimization. Secondly, through field research, interviews and collection of relevant materials, the current status of cloud accounting and financial sharing center operation management is described and the problems are analyzed. During the description of the current status, problems that can be optimized based on the intelligent perspective of data mining are found. Including performance management, risk management and process management modules. It enriches the method and technical system of cloud accounting and financial sharing centre's operation management optimization, contributes to the intelligence and automation of cloud accounting and financial sharing centre's operation management, effectively reduces the cost of operation management of cloud accounting and financial sharing center, and improves the operational management quality.			Practical/ accounts data processing; data mining; risk management/ cloud accounting; financial sharing center; operation management; data mining analysis research; intelligent application; performance management; process management modules/ C7120 Financial computing; C6220D Data mining; C6130 Data handling techniques	G06F7/00 Methods or arrangements for processing data by operating upon the order or content of the data handled; G06Q30/00 Commerce, e.g. marketing, shopping, billing, auctions or e-commerce; G06Q40/00 Finance, e.g. banking, investment or tax processing; Insurance, e.g. risk analysis or pensions	Qinwei He; Nanfang Coll. - Guangzhou, Guangzhou, China.				4	4	IOP Publishing	UK	Business & Economics; Computer Science (provided by Clarivate Analytics)			8				1742-6596	10.1088/1742-6596/1881/4/042061			INSPEC:20689255	gold			2021-12-06
J	INSPEC:20053952	Conference Paper			Using AI to Optimize O2O Integrated Talent Plan	Shih-Feng Chang; Jia Liu; Min-Qi Huang; Hui Ding; Yong-Lin Tan; Zhi-Tao Huang; Jun-Jie Chen						2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA)	2020	2020					95	98	95-8			2020 International Conference on Artificial Intelligence and Electromechanical Automation (AIEA)	26-28 June 2020	Tianjin, China			English	At present, the market scale of Internet recruitment industry continues to expand, and the market demand base for talents is growing. There is no comprehensive and effective connection between talents and market demand. However, the social talents optimization service products for college students and job seekers have not yet formed a systematic and professional system. Through the undergraduate career planning, college students can continuously improve themselves, become all-round talents, and lay the foundation for their future employment or entrepreneurship. In other words, college students plan well through a series of links such as full cognition, goal setting, clear path and implementation adjustment, so as to promote personal growth in a planned and step-by-step way. Therefore, we use AI model to put forward O2O integration talent optimization, through the visual personal growth path map, with the campus as the network point, set up the social campus network of talents, meanwhile, build the talent pool, realize the four in one talent blue ocean of personal growth, talent value-added, talent supply and demand docking, and resource integration and sharing.			Practical/ educational institutions; employment; globalisation; human resource management; Internet; organisational aspects; professional aspects; recruitment/ market scale; Internet recruitment industry; market demand base; social talents optimization service products; college students; professional system; undergraduate career planning; all-round talents; AI model; O2O integration talent optimization; visual personal growth path map; social campus network; talent pool; talent blue ocean; talent value-added; talent supply; demand docking; O2O integrated talent plan/ C0300 Management topics; C7210N Information networks; C0220 Computing education and training; E0120M Human resource management; E0250 Education and training		Shih-Feng Chang; Min-Qi Huang; Hui Ding; Yong-Lin Tan; Zhi-Tao Huang; Jun-Jie Chen; Dept. of Public Adm., Nanfang Coll. of Sun Yat-Sen Univ., Guangzhou, China.Jia Liu; Human Resources Dept., Nanfang Coll. of Sun Yat-Sen Univ., Guangzhou, China.				0	0	IEEE Computer Society	Los Alamitos, CA, USA	Operations Research & Management Science; Computer Science; Education & Educational Research; Business & Economics (provided by Clarivate Analytics)			9					10.1109/AIEA51086.2020.00027	978-1-7281-8288-9	[978-1-7281-8288-9/20/$31.00]	INSPEC:20053952				2021-12-06
J	INSPEC:20588121	Conference Paper			Based on the BPN and MARS model to discuss how hotels influence operational performance through intellectual capital	Wen Jye Hung; Li Yu Tseng; Jung Hsiang Chang; Yi-Yin Ruan						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					43	49	43-9			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	Hotels are facing the greatest challenge since the outbreak of SARS and coronavirus disease, and researchers discovered that intellectual capital plays a crucial role at such times. This study applies the concept of artificial neural networks to investigate the effects of hotel intellectual capital with operating performances. This research select 145 international hotels listed in Asian countries' stock markets in the U.S. Compustat database to investigate the association between the value of intellectual capital and operating performances. This study proposes a two-stage construction procedure. First, The multivariate adaptive regression splines forecasting(MARS) results show that Z-score, Economic Added Value of Employees, Turnover Rate of Fixed Assets, Revenue Growth Rata, Turnover Rate of Accounts Receivable, and Employee Productivity play crucial roles in the intellectual capital dimension on operating performance. Second, the research use the obtained MARS variables as input variables of the back-propagation neural network model(MARS-BPN) not only to shorten the time required for model training but also provides a preferable prediction. The MARS-BPN forecasting has important implications for the implementation of appropriate operating performance decisions or strategies.			Economic; Practical; Theoretical or Mathematical/ backpropagation; diseases; neural nets; production engineering computing; regression analysis; splines (mathematics); stock markets/ artificial neural networks; employee productivity; intellectual capital dimension; back-propagation neural network model; MARS-BPN forecasting; hotels influence operational performance; U.S. compustat database; multivariate adaptive regression splines forecasting; economic added value/ C6264 Neural nets; C1140V Regression analysis; C7480 Production engineering computing; E0220 Economics; E0410D Industrial applications of IT; E0120K Financial management; E0210J Statistics; E0210L Numerical analysis	G06Q40/04 Exchange, e.g. stocks, commodities, derivatives or acurrency exchange; G06N20/00 Machine learning	Wen Jye Hung; Yi-Yin Ruan; Sch. of Econ. & Manage., Min Jiang Univ., Fuzhou, China.Li Yu Tseng; Nanfang Coll., Sun Yat-Sen Univ., Guangzhou, China.Jung Hsiang Chang; Nanfang Coll., Sun Yat-Sen Univ., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Computer Science; Business & Economics; Engineering; Mathematics (provided by Clarivate Analytics)			37					10.1109/MSIEID52046.2020.00016	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20588121				2021-12-06
J	INSPEC:20434279	Conference Paper, Journal Paper			Frontiers in the emerging development of blockchain and Bitcoin: visual research based on big data analysis	Chung-Lien Pan; Zizhen Chen; Zhixiang Zhou; Zhuocheng Cai; Xuanyan Liu; Yiqi Lin						E3S Web of Conferences	2021	2021	235			E3S Web Conf. (France)	03017 (5 pp.)	03017 (5 pp.)	03017 (5 pp.)			2020 International Conference on New Energy Technology and Industrial Development (NETID 2020)	18-20 Dec. 2020	Dali, China			English	In the era of the rapid development of information technology, the innovation of Fintech continues to send emerging research hotspots to the financial market. Based on the analysis of documents retrieved from the Web of Science database, this article provides a comprehensive data analysis and visualization of keywords such as "blockchain", "bitcoin", and "business and economic". Using big data analysis technology and visual presentation, the author analyzed the details of the author's keywords, popular organizations, countries, sources, and other key points of the correlation and external development status. Show the researchers the influence of the intersection of keywords, and point out the leading status of the organizations or countries with large resource occupancy in the research progress; at the same time, provide the researchers with an accurate grasp of the direction of the field and provide a reliable basis.			Practical/ Big Data; blockchains; cryptocurrencies; data analysis; data visualisation; financial data processing; information retrieval/ blockchain; Bitcoin; visual research; information technology; emerging research hotspots; financial market; Science database; comprehensive data analysis; big data analysis technology; visual presentation; external development status/ C7120 Financial computing; C7250R Information retrieval techniques; C6130S Data security	G06F9/44 Arrangements for executing specific programmes; G06F21/00 Security arrangements for protecting computers or computer systems against unauthorised activity; G06Q30/00 Commerce, e.g. marketing, shopping, billing, auctions or e-commerce; G06Q40/00 Finance, e.g. banking, investment or tax processing; Insurance, e.g. risk analysis or pensions; H04L9/00 Arrangements for secret or secure communication; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Chung-Lien Pan; Zizhen Chen; Zhixiang Zhou; Zhuocheng Cai; Xuanyan Liu; Yiqi Lin; Nanfang Coll., Sun Yat-sen Univ., Guangzhou, China.			Pan, Chung Lien/0000-0001-9488-5329	0	0	EDP Sciences	France	Business & Economics; Computer Science (provided by Clarivate Analytics)			16				2267-1242	10.1051/e3sconf/202123503017			INSPEC:20434279	Green Published, gold			2021-12-06
